id,username,created_at,timezone,user_id,tweet,mentions,urls,replies_count,retweets_count,likes_count,hashtags,retweet,source
1421125162792071175,stockcats,2021-07-30 16:06:56 BST,+0100,60113926,every time $SPX crosses 4400 an investment advisor on TikTok gets a new sub,[],[],5,4,77,[],False,
1420821374424203269,stockcats,2021-07-29 19:59:47 BST,+0100,60113926,@jedimarkus77 $SPX at the same level as when I left to spend a few hours at the beach,[],[],0,1,11,[],False,
1420112470333706244,stockcats,2021-07-27 21:02:51 BST,+0100,60113926,get ready for some $AAPL has more cash than the GDP of &lt;insert country&gt; Tweets,[],[],12,18,228,[],False,
1419736911443279878,stockcats,2021-07-26 20:10:31 BST,+0100,60113926,@valentino_bear I never joined FB and so far I've been very happy with that decision,[],[],0,0,0,[],False,
1418566992546734088,stockcats,2021-07-23 14:41:41 BST,+0100,60113926,$SPX seems to be encountering some resistance at the all-time high in the history of the world,[],[],26,13,202,[],False,
1417124883826364425,stockcats,2021-07-19 15:11:15 BST,+0100,60113926,"$SPX crosses 4250  on the way up - ""Bull Market Unstoppable""  on the way down - ""Fear Grips Wall Street""",[],[],4,7,115,[],False,
1408450049240096770,stockcats,2021-06-25 16:40:34 BST,+0100,60113926,@RampCapitalLLC this chart shows that $SPX has been essentially flat since 2008  https://t.co/5ZXlgWk8ru,[],[],8,5,146,[],False,
1405543539132485634,stockcats,2021-06-17 16:11:08 BST,+0100,60113926,@ZR1Trader I still don't understand why the Chinese military wants to spy on your cat,[],[],2,0,12,[],False,
1397584120327385088,stockcats,2021-05-26 17:03:14 BST,+0100,60113926,$SPX &gt; 4200 = Bullish $SPX &lt; 4200 = Bearish  $SPX subsequently zig-zags above and below 4200 too many times to count,[],[],8,6,62,[],False,
1397269853820555267,stockcats,2021-05-25 20:14:27 BST,+0100,60113926,@Peter_Eller10 @mark_dow it's a scientific fact that having a cat in the office improves your results,[],[],2,0,9,[],False,
1397182713631813633,stockcats,2021-05-25 14:28:11 BST,+0100,60113926,@ZR1Trader so I guess the gist is that India wants to be able to censor content? I'm surprised to see Netflix and Amazon Prime included,[],[],1,0,2,[],False,
1395061274694897673,stockcats,2021-05-19 17:58:21 BST,+0100,60113926,"@WaitCapital doesn't seem like we've seen any type of ""capitulation"" yet, even though there's high drama with this -3% plunge from the S&amp;P highs",[],[],2,0,14,[],False,
1394457094963744778,stockcats,2021-05-18 01:57:33 BST,+0100,60113926,last time @zerohedge got banned the S&amp;P make an all-time high  before tanking -35% a few weeks later  https://t.co/XiloZR1u5F,"[{'screen_name': 'zerohedge', 'name': 'zerohedge', 'id': '18856867'}]",[],60,160,1207,[],False,
1391765636959850510,stockcats,2021-05-10 15:42:40 BST,+0100,60113926,seems strange the Dow is at an all-time high but the stocks my Financial Advisor recommended on TikTok are all down,[],[],29,147,1631,[],False,
1389583289913126914,stockcats,2021-05-04 15:10:48 BST,+0100,60113926,Breaking: S&amp;P 500 dips one percent - stocks crushed,[],[],18,22,287,[],False,
1389581518394335236,stockcats,2021-05-04 15:03:45 BST,+0100,60113926,@PriapusIQ it's still true even though the S&amp;P has doubled since then,[],[],2,0,5,[],False,
1389577207429926916,stockcats,2021-05-04 14:46:38 BST,+0100,60113926,@hmeisler $SPX is a mere -1.3% below the all-time high just 3 sessions back and it already feels like a correction,[],[],5,2,60,[],False,
1389208670014222339,stockcats,2021-05-03 14:22:11 BST,+0100,60113926,"@stevekovach ""In February 2008, Microsoft made an unsolicited bid to acquire Yahoo! for $44.6 billion. Yahoo rejected the bid, claiming that it ""substantially undervalues"" the company""",[],[],1,1,14,[],False,
1387800154841944067,stockcats,2021-04-29 17:05:15 BST,+0100,60113926,"""So how does today's intraday weakness in the S&amp;P fit into your long-term macro economic outlook for the global economy?"" - CNBC",[],[],13,2,84,[],False,
1387795215696683011,stockcats,2021-04-29 16:45:38 BST,+0100,60113926,@StrayDogTrading seemed like a good time to revisit it since the S&amp;P has officially doubled since that call,[],[],0,0,2,[],False,
1387792569174798344,stockcats,2021-04-29 16:35:07 BST,+0100,60113926,"""S&amp;P 500 Could Hit 4,300 Within Nine Years""  https://t.co/fi83fGUfHT",[],['https://www.barrons.com/articles/s-p-500-could-hit-4-300-within-nine-years-1432944117'],16,1,54,[],False,
1385982615568662528,stockcats,2021-04-24 16:43:00 BST,+0100,60113926,@no_pullbacks @SmellsBadInHere imagine if the actual inflation rate was simply the year over year change in the S&amp;P 500,[],[],1,0,3,[],False,
1384531756553056256,stockcats,2021-04-20 16:37:48 BST,+0100,60113926,"""Fear Grips Wall Street as the S&amp;P 500 plunges to levels not seen since last Wednesday""",[],[],11,50,387,[],False,
1384519052899536896,stockcats,2021-04-20 15:47:19 BST,+0100,60113926,ever wonder how the S&amp;P 500 can be only -1% off the all-time high at the same time your stocks are getting crushed?,[],[],142,181,3019,[],False,
1382419396359036929,stockcats,2021-04-14 20:44:02 BST,+0100,60113926,gonna wake up my cat to tell him fair value for $SPX is 3635  https://t.co/iE1BwpcOG4,[],[],24,12,307,[],False,
1379786531536310272,stockcats,2021-04-07 14:21:58 BST,+0100,60113926,@alifarhat79 @ParikPatelCFA I don't have an Apple watch because I'm certain my blood pressure spikes every time I log on to Twitter and I prefer not to know about it,[],[],2,0,10,[],False,
1378495622135832576,stockcats,2021-04-04 00:52:22 BST,+0100,60113926,"Information leaked includes Facebook ID numbers, profile names, email addresses, location information, gender details, job data, and anything else users might have entered in their profiles $FB",[],[],10,12,70,[],False,
1376620923537723394,stockcats,2021-03-29 20:42:59 BST,+0100,60113926,seems strange with the Dow at an all-time high the stocks my Financial Advisor recommended on TikTok are getting destroyed,[],[],38,127,1532,[],False,
1376218084495790084,stockcats,2021-03-28 18:02:14 BST,+0100,60113926,@The_Real_Fly @BullyEsq @Apple I figured we'd all be trading from our smart watches by now  https://t.co/JXV7FwoO6t,[],[],2,1,18,[],False,
1375455162307911688,stockcats,2021-03-26 14:30:40 GMT,+0100,60113926,@alexkvan @ZR1Trader my amazon order is probably somewhere on that map,[],[],1,0,2,[],False,
1374451687537057797,stockcats,2021-03-23 20:03:13 GMT,+0100,60113926,"@timhoppers $SPX low 3,901.57",[],[],1,0,4,[],False,
1374448923331289096,stockcats,2021-03-23 19:52:14 GMT,+0100,60113926,there's no reason to panic unless $SPX goes below 3900,[],[],29,8,249,[],False,
1374014847030079488,stockcats,2021-03-22 15:07:22 GMT,+0100,60113926,$SPX &gt; 3900 = cautiously optimistic  $SPX &lt; 3900 = recklessly pessimistic,[],[],8,16,265,[],False,
1372913674122317832,stockcats,2021-03-19 14:11:42 GMT,+0100,60113926,S&amp;P 500 is -2.3% below the all-time high in the history of the world and you can sense the fear,[],[],40,64,865,[],False,
1372556418503573505,stockcats,2021-03-18 14:32:05 GMT,+0100,60113926,I'm sure everything will be fine once all those $SPX 4000 calls expire,[],[],16,24,440,[],False,
1372166964169293829,stockcats,2021-03-17 12:44:32 GMT,+0100,60113926,if anyone asks how the market is doing this morning just tell them the Dow is up,[],[],15,11,240,[],False,
1371853999775870976,stockcats,2021-03-16 16:00:56 GMT,+0100,60113926,$SPX 4000 is practically in the bag  https://t.co/ZQw9TNIX5j,[],[],25,12,211,[],False,
1371851314372734976,stockcats,2021-03-16 15:50:15 GMT,+0100,60113926,"@jedimarkus77 no worries, I'm sure Powell has his sights set on $SPX 4000, he can talk it up tomorrow",[],[],1,0,4,[],False,
1369038962401161217,stockcats,2021-03-08 21:34:58 GMT,+0100,60113926,"$SPY closed a few pixels above the 50-day moving average, while $SPX closed a few pixels below it",[],[],8,0,60,[],False,
1369034884996620291,stockcats,2021-03-08 21:18:46 GMT,+0100,60113926,the S&amp;P 500 closed -3.3% below its all-time high  only 69 out of the 500 stocks are within 3% of their 52-week high,[],[],29,23,239,[],False,
1367878146322817028,stockcats,2021-03-05 16:42:18 GMT,+0100,60113926,@Brokenmkt $SPX -5% off the all-time highs doesn't really reflect the carnage under the surface,[],[],1,0,3,[],False,
1367513992940425217,stockcats,2021-03-04 16:35:17 GMT,+0100,60113926,$SPX the 50-day moving average is INSIDE THE CANDLE  https://t.co/2U1RsX5cFy,[],[],12,2,66,[],False,
1367493203134406666,stockcats,2021-03-04 15:12:41 GMT,+0100,60113926,$SPX &gt; 3800 = cautiously optimistic  $SPX &lt; 3800 = recklessly pessimistic,[],[],3,10,134,[],False,
1367197154805243906,stockcats,2021-03-03 19:36:17 GMT,+0100,60113926,@alexkvan in the 10 mins since that Tweet the Dow was up +45 and now it's negative,[],[],1,0,1,[],False,
1367194681277378561,stockcats,2021-03-03 19:26:27 GMT,+0100,60113926,"Alexa, how is the stock market doing today?  ""The Dow Jones Industrial Average is up twenty points""",[],[],18,20,353,[],False,
1366906099337736192,stockcats,2021-03-03 00:19:44 GMT,+0100,60113926,@cvarley1734 probably too soon - $SPX hasn't even broken this crude uptrend line I have drawn from last November,[],[],0,0,1,[],False,
1366858286180556806,stockcats,2021-03-02 21:09:45 GMT,+0100,60113926,ever wonder how the S&amp;P 500 can be only -2% off the all-time high in the history of the world while at the same time your stocks are getting crushed?,[],[],95,103,1601,[],False,
1362772582924173313,stockcats,2021-02-19 14:34:37 GMT,+0100,60113926,"""CAT Leads the Dow Higher"" - CNBC",[],[],19,13,288,[],False,
1356634084936671240,stockcats,2021-02-02 16:02:25 GMT,+0100,60113926,$SPX shorts getting squeezed,[],[],18,19,224,[],False,
1355204644729974793,stockcats,2021-01-29 17:22:20 GMT,+0100,60113926,"@RampCapitalLLC ""Fear Grips Wall Street as the S&amp;P 500 plunges 4% from the all-time high in the history of the world""",[],[],9,6,174,[],False,
1346171758844456961,stockcats,2021-01-04 19:08:52 GMT,+0100,60113926,@no_pullbacks $SPX &gt; 3666 = Heaven $SPX &lt; 3666 = Hell,[],[],0,1,9,[],False,
1346171461959114754,stockcats,2021-01-04 19:07:41 GMT,+0100,60113926,@no_pullbacks the greatest trick the Devil pulled was convincing investors $SPX would never test 3666 again,[],[],0,0,8,[],False,
1346106651154276353,stockcats,2021-01-04 14:50:09 GMT,+0100,60113926,"@QuincyAdams97 I don't think they do that, they're only obligated to provide a year-end target for the S&amp;P",[],[],1,0,3,[],False,
1346105838507798531,stockcats,2021-01-04 14:46:55 GMT,+0100,60113926,"""top strategists"" 2021 $SPX year-end price targets  https://t.co/U3NNAFlrMI",[],[],14,13,72,[],False,
1345210331136733184,stockcats,2021-01-02 03:28:30 GMT,+0100,60113926,@GoldTelegraph_ I don't hear many people talking about the fact that silver outperformed the Nasdaq 100 and gold outperformed $SPX in 2020  https://t.co/oyzY9oZten,[],[],22,64,319,[],False,
1335376567090995201,stockcats,2020-12-06 00:12:38 GMT,+0100,60113926,@MikeWShell @Skype @zoom_us probably the same way Microsoft's Windows Phone never worked out,[],[],7,0,30,[],False,
1335244755320643586,stockcats,2020-12-05 15:28:51 GMT,+0100,60113926,@jedimarkus77 never before in history has the S&amp;P traded a thousand points higher than Wall Street estimates,[],[],1,0,9,[],False,
1334902156630093827,stockcats,2020-12-04 16:47:30 GMT,+0100,60113926,@BeckInvestLLC year-end S&amp;P target predictions are a tradition,[],[],1,0,2,[],False,
1333812923404349440,stockcats,2020-12-01 16:39:16 GMT,+0100,60113926,@FinanceFrat let me get this straight - the same company that owns the Dow Jones index runs a stock contest website that can't properly account for stock splits?,[],[],1,0,9,[],False,
1331295253349994499,stockcats,2020-11-24 17:54:57 GMT,+0100,60113926,"""The Dow Jones Industrial Average Tops 30,000 For The First Time On News Of The Merger Between The Federal Reserve And Treasury Department""",[],[],17,105,816,[],False,
1331261923497799683,stockcats,2020-11-24 15:42:30 GMT,+0100,60113926,@nicks__tricks yeah if they had just added $AMZN to it we'd already be there,[],[],1,0,1,[],False,
1331261534736179205,stockcats,2020-11-24 15:40:58 GMT,+0100,60113926,what I remember most about Dow 20k was that it seemed like a slam-dunk and then took weeks to actually get there  https://t.co/QpruKAjVQO,[],[],4,1,23,[],False,
1331258756278181890,stockcats,2020-11-24 15:29:55 GMT,+0100,60113926,CNBC is probably warming up for Dow 30k watch  https://t.co/y5Hv3Z3XiR,[],[],4,1,43,[],False,
1330590179233574912,stockcats,2020-11-22 19:13:14 GMT,+0100,60113926,@VlanciPictures year-to-date: $GLD +23% $SPX +10%  1-year: $GLD +26% $SPX +14%  2-year: $GLD +52% $SPX +35%  3-year: $GLD +45% $SPX +38%  5-year: $GLD +70% $SPX +71%,[],[],2,5,30,[],False,
1325907415091597315,stockcats,2020-11-09 21:05:36 GMT,+0100,60113926,after watching The Queens Gambit I'm convinced if I could get my hands on some of those pills she was taking I could easily outperform the S&amp;P 500,[],[],35,39,624,[],False,
1325903952571981828,stockcats,2020-11-09 20:51:51 GMT,+0100,60113926,"imagine someone bought $SPY at the open and had to spend the whole day listening to everyone gush on about the ""rally to new highs""",[],[],16,5,136,[],False,
1325805855305060356,stockcats,2020-11-09 14:22:02 GMT,+0100,60113926,@AdamSinger I'm thinking it takes a lot of $$ to drive $SPX +4% that's a lot of market cap,[],[],6,0,21,[],False,
1324370787340587009,stockcats,2020-11-05 15:19:35 GMT,+0100,60113926,"which comes first, the election results or a new all-time high in $SPX?",[],[],27,23,189,[],False,
1323372723553316869,stockcats,2020-11-02 21:13:39 GMT,+0100,60113926,"based on my non-partisan chart of $SPX , it could still go either way  https://t.co/3691nqvn7Y",[],[],23,11,178,[],False,
1323367914662223872,stockcats,2020-11-02 20:54:32 GMT,+0100,60113926,"@thetradingcat today doesn't seem all that impressive, that would take a move over $SPX 3344",[],[],1,0,2,[],False,
1323295438859096064,stockcats,2020-11-02 16:06:32 GMT,+0100,60113926,"""so can you explain how this morning's price action in the Dow fits into your long-term outlook for the global economy?"" - CNBC",[],[],17,8,133,[],False,
1322336776866942976,stockcats,2020-10-31 00:37:10 GMT,+0100,60113926,$SPX -1.21% today $SPX -1.21% YTD,[],[],12,1,141,[],False,
1322196424738701312,stockcats,2020-10-30 15:19:27 GMT,+0100,60113926,$SPX Halloween weekly candle  https://t.co/UfROl5YCk7,[],[],13,20,147,[],False,
1322184263526219782,stockcats,2020-10-30 14:31:08 GMT,+0100,60113926,$SPX trying to hold yesterday's low  https://t.co/ezyUVnEaZq,[],[],4,29,260,[],False,
1320907381384089601,stockcats,2020-10-27 01:57:15 GMT,+0100,60113926,"@daddyroo45 there's no tracking #, this will be delivered by an Amazon truck - the point is they shouldn't have shown it out for delivery all day if it never shipped",[],[],0,0,1,[],False,
1320896259293618177,stockcats,2020-10-27 01:13:03 GMT,+0100,60113926,"Amazon - out for delivery, arriving today by 8pm  8:01 -  https://t.co/VqETfkWXuQ",[],[],21,5,141,[],False,
1319431500635439104,stockcats,2020-10-23 01:12:38 BST,+0100,60113926,"@ubenjammin2 I'm already there, I'm shopping Amazon for a chorus and a distortion pedal right now",[],[],0,0,0,[],False,
1319057837377622018,stockcats,2020-10-22 00:27:49 BST,+0100,60113926,"@coachbryer that's awesome, I found the video on Twitter because I never joined FB and can't see it there",[],[],1,0,1,[],False,
1318613366106165251,stockcats,2020-10-20 19:01:39 BST,+0100,60113926,@RudyHavenstein I hope it's better than the Google toilet  https://t.co/kPLhNvhpJC,[],['https://youtu.be/GLoVtbKL1fk'],1,2,23,[],False,
1318268486314020866,stockcats,2020-10-19 20:11:14 BST,+0100,60113926,"does anyone remember where $SPX was originally when everyone  started ""hoping"" for stimulus?",[],[],42,9,243,[],False,
1316728820158922753,stockcats,2020-10-15 14:13:09 BST,+0100,60113926,"S&amp;P rallies 250 points in a straight line, but when it gives back 100 of those points ""Fear Grips Wall Street""",[],[],26,38,457,[],False,
1312846565791485958,stockcats,2020-10-04 21:06:27 BST,+0100,60113926,"@ParikPatelCFA ""77-year-old Japanese artist Tatsuo Horiuchi chooses to “paint” with Microsoft Excel""  https://t.co/ywsIVuzlkE",[],['https://mymodernmet.com/tatsuo-horiuchi-excel-spreadsheet-paintings/'],0,10,89,[],False,
1312035200252219392,stockcats,2020-10-02 15:22:22 BST,+0100,60113926,"market opens and the S&amp;P rips 50 points higher  CNBC - ""Stocks Tumble as President Tests Positive for Covid-19""",[],[],12,24,185,[],False,
1311396011055689729,stockcats,2020-09-30 21:02:28 BST,+0100,60113926,@no_pullbacks $SPX closed +27 and /ES is flat so who knows what the hell really happened,[],[],1,1,3,[],False,
1311392491103453184,stockcats,2020-09-30 20:48:29 BST,+0100,60113926,"@no_pullbacks how many S&amp;P points do we consider ""surged"" these days?",[],[],1,0,5,[],False,
1311381967716397057,stockcats,2020-09-30 20:06:40 BST,+0100,60113926,"@JeffMacke no $SPX is only up +4.25% this year, or basically zero adjusted for my personal inflation rate",[],[],2,0,16,[],False,
1310671333257359360,stockcats,2020-09-28 21:02:51 BST,+0100,60113926,"$SPX crosses 3350  on the way down - ""Fear Grips Wall Street""  on the way up - ""Bull Market Unstoppable""",[],[],19,21,308,[],False,
1309124219142311936,stockcats,2020-09-24 14:35:10 BST,+0100,60113926,$SPX &gt;3200 = cautiously optimistic  $SPX &lt; 3200 = recklessly pessimistic,[],[],2,4,62,[],False,
1308058244670263298,stockcats,2020-09-21 15:59:22 BST,+0100,60113926,@mark_dow  https://t.co/LGBBcr9gDw,[],[],1,0,9,[],False,
1308033011330543617,stockcats,2020-09-21 14:19:06 BST,+0100,60113926,"@Tactical_Charts I'm not entirely sure, but Dow -1000 always qualifies",[],[],0,0,3,[],False,
1308029741874716673,stockcats,2020-09-21 14:06:07 BST,+0100,60113926,@SmellsBadInHere I'm thinkin panic levels are a few hundred S&amp;P points lower than here,[],[],0,0,4,[],False,
1307075671370366976,stockcats,2020-09-18 22:54:59 BST,+0100,60113926,"@Emmonspired @NicTrades this sounds similar to the reason I never signed up for Facebook, but I just assumed it did all that too",[],[],0,0,3,[],False,
1306952683400691714,stockcats,2020-09-18 14:46:16 BST,+0100,60113926,at least $SPX is still holding the uptrend line - barely  https://t.co/e0CZjQoK0o,[],[],40,22,339,[],False,
1306777376710225920,stockcats,2020-09-18 03:09:40 BST,+0100,60113926,@no_pullbacks how many S&amp;P points does $12B buy these days?,[],[],3,1,5,[],False,
1306255530747453442,stockcats,2020-09-16 16:36:02 BST,+0100,60113926,@QuintNJ I believe WebVan eventually got folded into Amazon,[],[],0,0,0,[],False,
1305879480993558529,stockcats,2020-09-15 15:41:44 BST,+0100,60113926,$SPX &gt;3400 = cautiously optimistic  $SPX &lt; 3400 = recklessly pessimistic,[],[],9,14,188,[],False,
1304422036438212608,stockcats,2020-09-11 15:10:23 BST,+0100,60113926,@jedimarkus77 good thing they split the stock or the Dow might be down instead of up,[],[],1,0,4,[],False,
1304172566718840833,stockcats,2020-09-10 22:39:04 BST,+0100,60113926,"relax, everything's fine as long as $SPX holds above the 50-day moving average  https://t.co/iCETbDUOXm",[],[],35,31,264,[],False,
1303715187594268674,stockcats,2020-09-09 16:21:37 BST,+0100,60113926,the Dow Jones Industrial Average is a barbarous relic,[],[],12,6,90,[],False,
1303714984636055553,stockcats,2020-09-09 16:20:48 BST,+0100,60113926,"this is why no one cares about the Dow, which isn't the same Dow as it was 6-months ago",[],[],3,2,58,[],False,
1303714577172115456,stockcats,2020-09-09 16:19:11 BST,+0100,60113926,imagine how bullish the financial media would be if the Dow rallied back to where it was 6-months ago  https://t.co/EMN0q8Nk9Y,[],[],11,10,157,[],False,
1301984021522546691,stockcats,2020-09-04 21:42:35 BST,+0100,60113926,@simonsayspivots every number is an angel number if you search for it on Google,[],[],1,0,6,[],False,
1301889656204734464,stockcats,2020-09-04 15:27:36 BST,+0100,60113926,Apple's market cap is now down 2 South Sea bubbles,[],[],7,29,407,[],False,
1301883462073356290,stockcats,2020-09-04 15:02:59 BST,+0100,60113926,@SimpleJackCap the Dow thanks Apple for its service,[],[],1,0,5,[],False,
1301882211814211584,stockcats,2020-09-04 14:58:01 BST,+0100,60113926,@Brokenmkt thanks to the $AAPL split the Dow is still positive at the moment,[],[],1,1,2,[],False,
1300449886119305216,stockcats,2020-08-31 16:06:28 BST,+0100,60113926,"@RudyHavenstein today is the first day of trading for the ""new Dow"" - cut it some slack",[],[],2,0,11,[],False,
1298972893666258952,stockcats,2020-08-27 14:17:26 BST,+0100,60113926,raising my S&amp;P price target to 3666,[],[],33,7,275,[],False,
1298260780509351938,stockcats,2020-08-25 15:07:45 BST,+0100,60113926,it's like they chose these new Dow components by picking ticker symbols out of a Scrabble bag,[],[],13,16,199,[],False,
1298247501452115968,stockcats,2020-08-25 14:14:59 BST,+0100,60113926,while they were re-shuffling the Dow they probably should have replaced Walgreen's with Amazon,[],[],6,8,111,[],False,
1291732938871250944,stockcats,2020-08-07 14:48:26 BST,+0100,60113926,"@jedimarkus77 they should have replaced $INTC with $AMD in the Dow, I don't know why they aren't more pro-active",[],[],1,0,8,[],False,
1291001188159193088,stockcats,2020-08-05 14:20:43 BST,+0100,60113926,"@NotaBubble I guess it depends on your perspective, the S&amp;P is up about +2% for the year which hardly qualifies as a melt-up - but if you start from the lows it kinda seems like a melt-up",[],[],3,1,15,[],False,
1290656745589800965,stockcats,2020-08-04 15:32:02 BST,+0100,60113926,Microsoft or Apple could probably  create their own version of TikToc in about a week so I guess they are after the installed user base of teenage girls,[],[],31,40,494,[],False,
1290641065951801351,stockcats,2020-08-04 14:29:43 BST,+0100,60113926,"@TK4692 ""stocks only go up!"" = $SPX +1% ytd",[],[],0,0,1,[],False,
1290485789013368835,stockcats,2020-08-04 04:12:42 BST,+0100,60113926,"@PlugInFUD @SpenglerCapital @tabongkima I never even joined Facebook, I'm just an old-school demographic I guess",[],[],0,0,4,[],False,
1289310251871809537,stockcats,2020-07-31 22:21:32 BST,+0100,60113926,everyone is bullish because they are outperforming the S&amp;P 500 year-to-date  https://t.co/50k4OS8HPr,[],[],27,54,243,[],False,
1288929824703217669,stockcats,2020-07-30 21:09:52 BST,+0100,60113926,Facebook revenues beat  https://t.co/w7FKLdnRaK,[],[],1,12,81,[],False,
1288469764361289730,stockcats,2020-07-29 14:41:45 BST,+0100,60113926,most people don't remember that Kodak was in the Dow back in 1930  https://t.co/3UXhBR61Is,[],['https://en.wikipedia.org/wiki/Historical_components_of_the_Dow_Jones_Industrial_Average'],17,11,154,[],False,
1282685407570866182,stockcats,2020-07-13 15:36:46 BST,+0100,60113926,@coachbryer every dollar added to an index fund starts with $AAPL and works its way down,[],[],0,0,2,[],False,
1281271423311523843,stockcats,2020-07-09 17:58:06 BST,+0100,60113926,BREAKING NEWS: Dow rescued by trendline  https://t.co/Etx1Vt9zEK,[],[],12,22,181,[],False,
1280133246181953536,stockcats,2020-07-06 14:35:24 BST,+0100,60113926,in case you were wondering why the S&amp;P opened up +1%  https://t.co/oGdTkUeQZ8,[],[],17,7,134,[],False,
1279982341516136448,stockcats,2020-07-06 04:35:45 BST,+0100,60113926,"@UnknownTrader @LWinthorpe Amazon of course,  https://t.co/jqpVp0qM8E",[],['https://www.amazon.com/Bandanas-Balaclava-Seamless-Reusable-Headwear/dp/B086YTRM9H/'],1,0,0,[],False,
1277693457583259648,stockcats,2020-06-29 21:00:33 BST,+0100,60113926,Dow up big again!  https://t.co/riBmv9YKwk,[],[],30,85,560,[],False,
1277681155203051522,stockcats,2020-06-29 20:11:40 BST,+0100,60113926,I boycotted Facebook by never signing up,[],[],34,44,752,[],False,
1274345176283197446,stockcats,2020-06-20 15:15:40 BST,+0100,60113926,gold outperforming $SPX year-to-date  https://t.co/kFihfClAFL,[],[],9,18,106,[],False,
1272588006533353472,stockcats,2020-06-15 18:53:18 BST,+0100,60113926,"""Fear Grips Wall Street as the S&amp;P 500 turns positive on the day""  https://t.co/1QuEEOqipO",[],[],16,29,319,[],False,
1271514857691643904,stockcats,2020-06-12 19:49:00 BST,+0100,60113926,"if the Dow closes up at least 10 points today, that qualifies as a ""rally"" in the financial media - though they are required to mention that it closed ""off the highs of the day""",[],[],16,14,259,[],False,
1271167055899828231,stockcats,2020-06-11 20:46:57 BST,+0100,60113926,"""Thank you for calling the Plunge Protection Team. We are currently experiencing heavy call volume but your call is important to us.  If the S&amp;P is about to break below 3000 please press one to be connected to a representative immediately""",[],[],21,73,589,[],False,
1271143679659520001,stockcats,2020-06-11 19:14:04 BST,+0100,60113926,@HideNotSlide Dow down -1000 or more qualifies every time,[],[],3,0,4,[],False,
1271086783745441800,stockcats,2020-06-11 15:27:59 BST,+0100,60113926,@FusionptCapital I gave up on Fibonacci when the S&amp;P didn't reverse at exactly the 61.8% retracement,[],[],5,3,38,[],False,
1271075623570677760,stockcats,2020-06-11 14:43:38 BST,+0100,60113926,"""Fear grips Wall Street as the S&amp;P 500 plunges to levels not seen since last Thursday""",[],[],39,229,2124,[],False,
1268640006542893068,stockcats,2020-06-04 21:25:22 BST,+0100,60113926,today's $SPY candlestick explained $STUDY  https://t.co/ZNzk7mWu3z,[],[],34,33,270,[],False,
1268178599015841798,stockcats,2020-06-03 14:51:54 BST,+0100,60113926,"$SPX has rallied all the way back to where the Fed did their surprise 50bps ""emergency rate cut"" back on March 3rd",[],[],15,36,317,[],False,
1267443646904832007,stockcats,2020-06-01 14:11:28 BST,+0100,60113926,Amazon distribution center security employee of the future  https://t.co/xwe4bpjgFi,[],[],11,25,140,[],False,
1266064828310970369,stockcats,2020-05-28 18:52:32 BST,+0100,60113926,"@RandyMatheny nope, now that the S&amp;P is back over the 200-day it's no longer fashionable to use the word turmoil",[],[],1,0,4,[],False,
1265372796407947264,stockcats,2020-05-26 21:02:38 BST,+0100,60113926,I bet that guy with the S&amp;P 3000 tattoo had high hopes for today's session,[],[],14,11,174,[],False,
1265277606309453824,stockcats,2020-05-26 14:44:23 BST,+0100,60113926,are we supposed to buy when the S&amp;P crosses above the 200-day moving average or wait until it closes over it?,[],[],86,48,564,[],False,
1264188134243385344,stockcats,2020-05-23 14:35:13 BST,+0100,60113926,@MarekTempura this face mask is available on Amazon  https://t.co/fEOFyZ0Sx0,[],['https://www.amazon.com/Bandanas-Balaclava-Seamless-Reusable-Headwear/dp/B086YTRM9H?pf_rd_r=PJ1F407K3D50VB80KKJK&pf_rd_p=4ef03d4f-fc52-4cba-b905-5ea280a737fe&pd_rd_r=16c407d0-3a38-4748-bf53-980c20a54b81&pd_rd_w=vVPvH&pd_rd_wg=Yqjrv&ref_=pd_gw_ci_mcx_mr_hp_d'],0,0,0,[],False,
1263194974310580224,stockcats,2020-05-20 20:48:45 BST,+0100,60113926,$SPX 200-day moving average is at 2999 which probably means there are people waiting to buy at 3000,[],[],20,7,193,[],False,
1262750675076710402,stockcats,2020-05-19 15:23:16 BST,+0100,60113926,hey @CNBC is it really necessary to show a tick-by-tick Dow chart during this testimony?,"[{'screen_name': 'cnbc', 'name': 'cnbc', 'id': '20402945'}]",[],24,7,197,[],False,
1262470182762696704,stockcats,2020-05-18 20:48:41 BST,+0100,60113926,are you more bullish now than you were a year ago when the S&amp;P was trading around this same level?,[],[],101,64,711,[],False,
1261148094370111488,stockcats,2020-05-15 05:15:11 BST,+0100,60113926,@Mehranp88 I can prove technical analysis works - just draw a horizontal line at $SPX 2960 and proclaim the market can't hit a new high without breaking above that line,[],[],0,0,12,[],False,
1261143490030960640,stockcats,2020-05-15 04:56:53 BST,+0100,60113926,"@Aemiliannus based on a trendline I have on the Monthly log chart drawn from the lows of 1982 through the low of 2009, $SPX 1500ish seems like a really good support level",[],[],5,1,29,[],False,
1260603198093524992,stockcats,2020-05-13 17:09:57 BST,+0100,60113926,I don't understand why this Tepper guy can't just look past a -30% earnings decline in the S&amp;P and focus on next year's valuations,[],[],23,37,461,[],False,
1258748651310141440,stockcats,2020-05-08 14:20:39 BST,+0100,60113926,"@jedimarkus77 just strange how near the 2000 peak, tech was outperforming the Dow",[],[],2,0,8,[],False,
